user_id,signup_date,country,channel_src,device_type,device_id_hash,kyc_score,risk_tier
1,2024-01-06,SG,organic,web,7682110,0.764,low
2,2024-02-16,MY,ads,web,7951360,0.712,medium
3,2024-02-09,PH,organic,android,4394753,0.619,medium
4,2024-01-27,SG,referral,android,9762283,0.779,low
5,2024-01-26,SG,organic,android,2408370,0.735,low
6,2024-02-21,ID,ads,android,2721984,0.535,medium
7,2024-01-06,PH,organic,ios,8217553,0.915,low
8,2024-02-11,MY,social,web,2251524,0.613,low
9,2024-01-13,MY,organic,android,4377213,0.538,medium
10,2024-01-06,ID,organic,android,6595317,0.661,low
11,2024-02-01,SG,ads,ios,9034579,0.616,medium
12,2024-02-28,ID,organic,ios,2955678,0.711,medium
13,2024-02-14,SG,referral,web,3488445,0.564,high
14,2024-02-15,MY,referral,ios,1217966,0.817,low
15,2024-02-13,SG,organic,ios,4650319,0.957,low
16,2024-02-17,SG,social,android,3086295,0.766,medium
17,2024-01-31,ID,organic,android,3616102,0.533,high
18,2024-01-08,ID,social,ios,3110718,0.613,high
19,2024-02-20,MY,ads,ios,2480368,0.783,low
20,2024-01-28,ID,organic,android,5963779,0.455,high
21,2024-01-31,VN,social,web,5501559,0.565,high
22,2024-01-23,PH,social,android,5050265,0.503,medium
23,2024-01-11,PH,referral,android,6274597,0.767,low
24,2024-02-25,MY,organic,ios,4001012,1.0,low
25,2024-02-16,MY,referral,android,2352753,0.561,medium
26,2024-02-08,MY,referral,android,3601825,0.872,low
27,2024-01-25,ID,ads,android,3885589,0.665,low
28,2024-02-19,SG,organic,android,3410834,0.552,high
29,2024-02-02,ID,organic,ios,2320667,0.985,low
30,2024-01-27,SG,organic,ios,8755811,1.0,low
31,2024-01-28,SG,social,android,4891259,0.812,low
32,2024-01-14,PH,organic,ios,5147290,0.804,low
33,2024-01-06,SG,ads,android,9018330,0.759,medium
34,2024-02-03,ID,ads,android,8694322,0.728,low
35,2024-02-23,MY,referral,ios,3220761,0.801,low
36,2024-01-04,SG,ads,android,9961763,0.851,medium
37,2024-02-21,PH,social,android,4794201,1.0,low
38,2024-02-19,SG,ads,web,5460431,0.672,low
39,2024-01-17,PH,organic,ios,9402523,0.769,low
40,2024-02-07,PH,referral,ios,9356446,0.737,medium
41,2024-01-10,SG,organic,ios,9450588,0.904,low
42,2024-02-15,SG,referral,ios,2571271,1.0,low
43,2024-02-12,SG,ads,android,1710959,0.909,low
44,2024-01-22,ID,organic,android,3788067,0.87,low
45,2024-01-05,SG,organic,ios,3552854,0.886,low
46,2024-02-28,VN,social,web,6930167,0.94,low
47,2024-01-27,SG,ads,ios,2445090,1.0,low
48,2024-02-23,PH,organic,android,3142136,0.497,medium
49,2024-02-10,SG,organic,web,8182390,0.84,medium
50,2024-02-16,VN,social,android,6325884,0.363,high
51,2024-02-15,SG,referral,ios,8150998,0.893,low
52,2024-01-12,ID,referral,web,9090562,0.833,low
53,2024-01-22,ID,organic,android,9429821,0.668,low
54,2024-01-29,SG,organic,ios,9762528,0.349,medium
55,2024-01-30,PH,social,ios,7062243,0.748,low
56,2024-01-03,SG,social,web,5813881,0.783,low
57,2024-02-02,ID,referral,ios,6780094,0.741,low
58,2024-01-10,ID,referral,android,7630461,0.657,medium
59,2024-02-14,MY,social,ios,7130055,0.615,medium
