user_id,timestamp,ip,device_id,outcome
147,2024-01-17 10:18:25,192.168.177.150,device_28,success
126,2024-02-10 18:05:31,192.168.171.37,device_5,fail
130,2024-01-18 03:34:52,192.168.83.150,device_5,success
53,2024-01-31 22:27:59,192.168.127.125,device_21,success
172,2024-01-30 03:52:51,192.168.44.51,device_12,success
160,2024-01-31 18:30:45,192.168.79.177,device_4,fail
198,2024-01-26 07:51:11,192.168.233.123,device_49,success
160,2024-02-18 06:05:02,192.168.118.7,device_42,success
68,2024-02-08 14:46:22,192.168.241.84,device_20,success
183,2024-01-30 06:41:52,192.168.128.246,device_38,success
184,2024-02-19 01:05:26,192.168.7.156,device_25,success
123,2024-02-05 03:33:19,192.168.95.101,device_14,success
145,2024-01-02 07:04:06,192.168.4.238,device_11,success
38,2024-02-07 09:09:35,192.168.85.174,device_32,success
24,2024-02-07 06:43:09,192.168.33.192,device_11,success
69,2024-02-11 09:28:01,192.168.54.118,device_18,success
116,2024-01-03 11:32:55,192.168.217.170,device_27,success
98,2024-01-23 20:37:30,192.168.201.157,device_18,success
198,2024-01-02 03:45:54,192.168.113.209,device_23,success
139,2024-02-18 13:27:10,192.168.144.25,device_11,success
144,2024-01-17 00:53:04,192.168.135.46,device_21,success
97,2024-02-27 00:37:25,192.168.231.112,device_44,success
124,2024-02-12 00:35:56,192.168.75.218,device_5,success
187,2024-01-09 06:49:52,192.168.71.88,device_23,success
70,2024-02-11 09:41:22,192.168.45.195,device_41,success
93,2024-02-14 21:39:25,192.168.32.0,device_25,success
3,2024-01-05 18:15:57,192.168.146.30,device_41,success
148,2024-02-23 07:37:08,192.168.207.141,device_10,fail
187,2024-01-05 21:02:48,192.168.52.47,device_22,success
164,2024-01-19 00:02:44,192.168.68.104,device_19,success
147,2024-02-02 11:12:01,192.168.89.189,device_1,success
90,2024-01-17 11:03:26,192.168.219.193,device_7,fail
195,2024-01-10 17:41:01,192.168.241.191,device_4,success
147,2024-01-22 13:52:59,192.168.197.62,device_1,success
148,2024-02-21 22:13:48,192.168.72.160,device_15,success
96,2024-02-05 19:18:38,192.168.168.88,device_40,success
199,2024-01-17 17:05:50,192.168.175.12,device_12,success
52,2024-01-15 08:37:57,192.168.72.244,device_22,success
161,2024-02-14 18:36:52,192.168.76.158,device_22,success
168,2024-02-24 03:30:06,192.168.232.202,device_47,success
128,2024-02-02 22:10:19,192.168.67.97,device_17,success
39,2024-02-12 10:36:30,192.168.124.101,device_29,success
82,2024-01-18 21:21:48,192.168.237.131,device_46,fail
104,2024-01-18 12:23:36,192.168.101.18,device_14,success
129,2024-01-23 23:48:46,192.168.197.225,device_20,success
11,2024-01-17 15:13:33,192.168.81.140,device_48,success
185,2024-02-24 12:44:30,192.168.232.22,device_33,success
178,2024-01-27 22:50:55,192.168.82.108,device_43,fail
151,2024-01-04 12:33:26,192.168.74.128,device_15,success
159,2024-02-21 10:59:09,192.168.87.253,device_12,success
42,2024-01-20 01:23:57,192.168.53.198,device_40,success
99,2024-02-05 02:13:47,192.168.88.212,device_20,success
7,2024-02-29 16:52:02,192.168.142.64,device_30,success
144,2024-02-16 06:38:25,192.168.75.249,device_38,success
90,2024-01-04 06:28:39,192.168.198.142,device_3,success
112,2024-01-31 07:13:17,192.168.148.146,device_28,fail
60,2024-02-06 13:13:57,192.168.59.92,device_26,fail
113,2024-01-15 20:30:53,192.168.216.160,device_30,success
2,2024-01-15 11:35:50,192.168.48.223,device_13,success
129,2024-01-02 23:37:17,192.168.240.34,device_13,success
48,2024-02-05 01:24:46,192.168.171.101,device_2,success
140,2024-01-24 19:07:01,192.168.217.10,device_37,success
197,2024-01-14 09:31:03,192.168.98.199,device_49,success
37,2024-02-04 16:24:57,192.168.109.205,device_38,success
160,2024-01-26 00:41:22,192.168.73.193,device_2,success
9,2024-01-03 10:37:11,192.168.173.8,device_36,success
99,2024-02-09 15:24:06,192.168.2.84,device_26,success
147,2024-01-08 09:31:23,192.168.25.71,device_11,success
48,2024-02-25 22:17:23,192.168.47.193,device_8,success
131,2024-02-14 05:02:11,192.168.197.155,device_44,success
148,2024-02-28 09:15:53,192.168.116.220,device_40,success
152,2024-01-24 04:43:22,192.168.153.152,device_43,success
54,2024-02-29 08:36:24,192.168.11.132,device_22,success
120,2024-01-09 03:20:02,192.168.225.47,device_20,success
161,2024-01-01 12:33:39,192.168.36.206,device_8,success
152,2024-02-10 08:48:51,192.168.43.227,device_29,success
116,2024-02-20 17:24:04,192.168.14.42,device_40,success
75,2024-02-15 18:32:00,192.168.175.86,device_26,success
113,2024-01-17 10:55:41,192.168.69.45,device_30,success
200,2024-01-12 01:26:49,192.168.241.107,device_17,success
164,2024-01-15 03:10:59,192.168.122.170,device_20,fail
166,2024-02-01 12:03:10,192.168.236.20,device_16,fail
104,2024-01-02 16:48:22,192.168.150.106,device_46,success
84,2024-02-25 07:58:40,192.168.246.79,device_43,success
112,2024-02-26 03:16:42,192.168.46.116,device_7,success
99,2024-02-13 00:57:41,192.168.123.142,device_16,success
153,2024-02-17 14:05:25,192.168.24.35,device_45,fail
93,2024-02-06 04:23:00,192.168.202.50,device_47,success
146,2024-01-15 12:51:28,192.168.14.67,device_48,success
128,2024-01-07 19:39:56,192.168.20.140,device_27,success
110,2024-01-26 17:00:25,192.168.213.18,device_23,fail
82,2024-02-28 08:43:18,192.168.33.77,device_24,success
194,2024-01-29 19:16:06,192.168.124.195,device_9,success
54,2024-02-23 12:59:00,192.168.239.116,device_35,success
163,2024-02-25 15:41:35,192.168.51.237,device_20,success
189,2024-01-16 01:26:17,192.168.26.156,device_37,success
169,2024-01-16 00:50:21,192.168.238.155,device_42,success
161,2024-01-04 13:46:55,192.168.34.135,device_17,fail
68,2024-01-02 02:26:55,192.168.143.105,device_47,fail
33,2024-01-20 17:47:39,192.168.163.157,device_31,success
142,2024-02-14 20:51:48,192.168.145.1,device_8,success
21,2024-01-03 14:39:40,192.168.176.76,device_15,success
48,2024-01-01 15:37:35,192.168.131.89,device_31,success
148,2024-02-12 11:11:17,192.168.88.93,device_30,success
128,2024-02-29 03:33:51,192.168.202.6,device_46,success
136,2024-02-18 02:08:51,192.168.94.107,device_20,success
135,2024-01-27 21:21:30,192.168.73.38,device_39,success
195,2024-02-22 09:17:34,192.168.140.158,device_12,success
145,2024-02-18 09:36:55,192.168.70.190,device_49,success
128,2024-02-19 10:53:19,192.168.55.240,device_17,success
33,2024-02-27 07:02:52,192.168.169.188,device_42,success
176,2024-02-19 15:45:47,192.168.41.183,device_30,success
187,2024-01-18 17:26:29,192.168.35.83,device_29,success
115,2024-01-29 15:29:05,192.168.195.117,device_19,success
119,2024-01-29 06:47:33,192.168.6.53,device_46,success
22,2024-02-02 18:57:25,192.168.128.171,device_11,success
158,2024-02-02 23:14:17,192.168.119.172,device_34,success
38,2024-02-19 00:27:38,192.168.105.46,device_7,success
109,2024-02-24 04:21:15,192.168.122.140,device_44,success
51,2024-01-10 07:00:44,192.168.118.149,device_34,success
